2256.667093	2256.667093	1
2257.150323	2257.150323	2
2258.097312	2258.097312	1
2258.578555	2258.578555	2
2259.563686	2259.563686	1
2260.016795	2260.016795	2
2268.111749	2268.111749	1
2268.592159	2268.592159	2
2269.560984	2269.560984	1
2270.065413	2270.065413	2
2271.010218	2271.010218	1
2271.458600	2271.458600	2
2273.864649	2273.864649	1
2274.329045	2274.329045	2
2276.735094	2276.735094	1
2277.223510	2277.223510	2
2278.164311	2278.164311	1
2278.680751	2278.680751	2
2279.597532	2279.597532	1
2280.098413	2280.098413	2
2281.042763	2281.042763	1
2281.545693	2281.545693	2
2282.477837	2282.477837	1
2282.930625	2282.930625	2
2302.416914	2302.416914	1
2302.907698	2302.907698	2
2305.281722	2305.281722	1
2305.813849	2305.813849	2
2308.166084	2308.166084	1
2308.647735	2308.647735	2
2309.602120	2309.602120	1
2310.152901	2310.152901	2
2311.036229	2311.036229	1
2311.516679	2311.516679	2
2312.465672	2312.465672	1
2312.939467	2312.939467	2
2313.882323	2313.882323	1
2314.360360	2314.360360	2
2315.311258	2315.311258	1
2315.797881	2315.797881	2
2316.736271	2316.736271	1
2317.222100	2317.222100	2
2319.581302	2319.581302	1
2320.064317	2320.064317	2
2328.177541	2328.177541	1
2328.652829	2328.652829	2
2329.614559	2329.614559	1
2330.142246	2330.142246	2
2331.047486	2331.047486	1
2331.583236	2331.583236	2
2332.470991	2332.470991	1
2332.976985	2332.976985	2
2333.923060	2333.923060	1
2334.440608	2334.440608	2
2342.512563	2342.512563	1
2342.983866	2342.983866	2
2351.103751	2351.103751	1
2351.581787	2351.581787	2
2352.537860	2352.537860	1
2352.995697	2352.995697	2
2353.971968	2353.971968	1
2354.450005	2354.450005	2
2355.385879	2355.385879	1
2355.870648	2355.870648	2
2356.841165	2356.841165	1
2357.312987	2357.312987	2
2361.130974	2361.130974	1
2361.569466	2361.569466	2
2362.557428	2362.557428	1
2363.047163	2363.047163	2
2363.989408	2363.989408	1
2364.475152	2364.475152	2
